OBJECTID;weight;node_id;nps_dn;p_max
232;4000000.000000000000000;GS-1375;200;100
233;640000.000000000000000;GS-2213;200;16
234;100000000.000000000000000;GS-0031;1000;100
235;61370000.000000000000000;GS-3478;950;68
236;400000.000000000000000;GS-1886;200;10
237;92610000.000000000000000;GS-0681;1050;84
238;92610000.000000000000000;GS-0682;1050;84
239;17500000.000000000000000;GS-0952;500;70
240;640000.000000000000000;GS-0965;200;16
241;640000.000000000000000;GS-0966;200;16
242;640000.000000000000000;GS-1716;200;16
243;11200000.000000000000000;GS-1790;400;70
244;3360000.000000000000000;GS-4125;200;84
245;1890000.000000000000000;GS-4119;150;84
246;6075000.000000000000000;GS-4714;300;68
247;7200000.000000000000000;GS-7278;300;80
248;17500000.000000000000000;GS-7229;500;70
249;6075000.000000000000000;GS-4400;300;68
250;43520000.000000000000000;GS-7244;800;68
251;43520000.000000000000000;GS-0794;800;68
252;33075000.000000000000000;GS-7233;700;68
253;2700000.000000000000000;GS-4496;200;68
254;1518750.000000000000000;GS-4505;150;68
255;9000000.000000000000000;GS-0080;300;100
256;4000000.000000000000000;GS-6442;500;16
257;4000000.000000000000000;GS-6920;500;16
258;4000000.000000000000000;GS-6821;500;16
259;21000000.000000000000000;GS-6532;500;84
260;21000000.000000000000000;GS-6523;500;84
261;22680000.000000000000000;GS-6631;600;63
262;6250000.000000000000000;GS-6664;500;25
263;16000000.000000000000000;GS-6488;500;64
264;24300000.000000000000000;GS-6890;600;68
265;24300000.000000000000000;GS-6807;600;68
266;22680000.000000000000000;GS-6651;600;63
267;22680000.000000000000000;GS-6650;600;63
268;22680000.000000000000000;GS-6425;600;63
269;22680000.000000000000000;GS-6426;600;63
270;640000.000000000000000;GS-6741;200;16
271;40320000.000000000000000;GS-6750;800;63
272;40320000.000000000000000;GS-6754;800;63
273;35437500.000000000000000;GS-6731;750;63
274;51030000.000000000000000;GS-6919;900;63
275;20000000.000000000000000;GS-0769;500;80
276;57600000.000000000000000;GS-4030;800;90
277;57600000.000000000000000;GS-4029;800;90
278;1890000.000000000000000;GS-3896;150;84
279;16000000.000000000000000;GS-6526;800;25
280;1890000.000000000000000;GS-3898;150;84
281;16000000.000000000000000;GS-6528;800;25
282;700000.000000000000000;GS-4130;100;70
283;51030000.000000000000000;GS-6443;900;63
284;9000000.000000000000000;GS-6720;600;25
285;110250000.000000000000000;GS-0108;1050;100
286;120960000.000000000000000;GS-0100;1200;84
287;81000000.000000000000000;GS-0022;900;100
288;16000000.000000000000000;GS-6910;800;25
289;22680000.000000000000000;GS-6886;600;63
290;51030000.000000000000000;GS-6737;900;63
291;15750000.000000000000000;GS-6429;500;63
292;15750000.000000000000000;GS-6430;500;63
293;22680000.000000000000000;GS-6877;600;63
294;22680000.000000000000000;GS-6435;600;63
295;64800000.000000000000000;GS-2913;900;80
296;33320000.000000000000000;GS-2703;700;68
297;53760000.000000000000000;GS-4010;800;84
298;110250000.000000000000000;GS-0106;1050;100
299;39200000.000000000000000;GS-2548;700;80
300;100000000.000000000000000;GS-4001;1000;100
301;13440000.000000000000000;GS-3980;400;84
302;16875000.000000000000000;GS-3609;500;68
303;9920000.000000000000000;GS-3614;400;62
304;9920000.000000000000000;GS-3615;400;62
305;5760000.000000000000000;GS-3692;300;64
